playername,points
Garrett Griffin NO ,0.0
Chris Manhertz CAR ,0.0
Rico Gathers DAL ,0.0
Jerome Cunningham TEN ,0.0
Alex Ellis JAC ,0.0
Brandon Pettigrew DET ,0.0
Beau Sandland CAR ,0.0
Michael Hoomanawanui NO ,0.0
A.J. Derby DEN ,0.0
Joshua Perkins ATL ,0.0
Clark Harris CIN ,0.0
Ryan O'Malley OAK ,0.0
Steven Scheu DEN ,0.0
Dwayne Allen IND ,0.0
Manasseh Garner BUF ,0.0
Denver Broncos ,8.9
Minnesota Vikings ,8.4
Arizona Cardinals ,8.3
Tennessee Titans ,9.0
New York Jets ,8.2
Carolina Panthers ,7.9
Oakland Raiders ,7.3
Kansas City Chiefs ,7.7
Cleveland Browns ,6.6
Cincinnati Bengals ,6.6
Jacksonville Jaguars ,6.7
San Diego Chargers ,6.4
New Orleans Saints ,6.6
Detroit Lions ,6.9
Indianapolis Colts ,6.5
Seattle Seahawks ,6.7
Washington Redskins ,6.5
Philadelphia Eagles ,6.1
Atlanta Falcons ,6.6
Green Bay Packers ,5.3
Houston Texans ,5.9
Tampa Bay Buccaneers ,6.7
Chicago Bears ,6.2
Dallas Cowboys ,5.7
New England Patriots ,6.4
Buffalo Bills ,6.0
