"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Tyrell Williams",4700,"SD@Den 04:05PM ET",14.514,"SD"
"WR","John Brown",4700,"Ari@Car 01:00PM ET",9.517,"Ari"
"RB","Latavius Murray",4500,"Oak@TB 01:00PM ET",14.360,"Oak"
"WR","Corey Coleman",4500,"NYJ@Cle 01:00PM ET",19.650,"Cle"
"WR","Chris Hogan",4400,"NE@Buf 01:00PM ET",7.600,"NE"
"RB","James Starks",4300,"GB@Atl 04:25PM ET",3.800,"GB"
"WR","Anquan Boldin",4200,"Det@Hou 01:00PM ET",11.886,"Det"
"WR","Mohamed Sanu",4100,"GB@Atl 04:25PM ET",8.829,"Atl"
"WR","Michael Floyd",4100,"Ari@Car 01:00PM ET",8.957,"Ari"
"WR","Robert Woods",4000,"NE@Buf 01:00PM ET",9.267,"Buf"
"TE","Martellus Bennett",4000,"NE@Buf 01:00PM ET",13.471,"NE"
"RB","Ryan Mathews",4000,"Phi@Dal 08:30PM ET",10.250,"Phi"
"WR","Phillip Dorsett",3900,"KC@Ind 01:00PM ET",7.433,"Ind"
"RB","Thomas Rawls",3900,"Sea@NO 01:00PM ET",6.300,"Sea"
"WR","Tyler Lockett",3900,"Sea@NO 01:00PM ET",4.950,"Sea"
"RB","Duke Johnson Jr.",3900,"NYJ@Cle 01:00PM ET",10.314,"Cle"
"WR","Ted Ginn Jr.",3900,"Ari@Car 01:00PM ET",5.783,"Car"
"RB","C.J. Spiller",3800,"Sea@NO 01:00PM ET",8.100,"Sea"
"RB","Dwayne Washington",3800,"Det@Hou 01:00PM ET",4.025,"Det"
"RB","Mike Gillislee",3800,"NE@Buf 01:00PM ET",5.343,"Buf"
"WR","Devin Funchess",3800,"Ari@Car 01:00PM ET",5.367,"Car"
"WR","Brice Butler",3800,"Phi@Dal 08:30PM ET",5.117,"Dal"
"RB","Zach Zenner",3700,"Det@Hou 01:00PM ET",5.640,"Det"
"RB","Isaiah Crowell",3700,"NYJ@Cle 01:00PM ET",14.600,"Cle"
"RB","Devontae Booker",3700,"SD@Den 04:05PM ET",6.471,"Den"
"TE","Hunter Henry",3700,"SD@Den 04:05PM ET",9.943,"SD"
"DST","Broncos ",3700,"SD@Den 04:05PM ET",10.286,"Den"
"RB","Darren Sproles",3700,"Phi@Dal 08:30PM ET",10.200,"Phi"
"WR","Terrance Williams",3700,"Phi@Dal 08:30PM ET",9.350,"Dal"
"WR","Marquise Goodwin",3600,"NE@Buf 01:00PM ET",8.400,"Buf"
"RB","Fozzy Whittaker",3600,"Ari@Car 01:00PM ET",9.550,"Car"
"TE","Jason Witten",3600,"Phi@Dal 08:30PM ET",9.233,"Dal"
"TE","Zach Ertz",3600,"Phi@Dal 08:30PM ET",6.025,"Phi"
"TE","Jack Doyle",3500,"KC@Ind 01:00PM ET",11.600,"Ind"
"RB","Bilal Powell",3500,"NYJ@Cle 01:00PM ET",7.471,"NYJ"
"WR","Chris Conley",3400,"KC@Ind 01:00PM ET",7.117,"KC"
"RB","DeAndre Washington",3400,"Oak@TB 01:00PM ET",5.957,"Oak"
"TE","Coby Fleener",3400,"Sea@NO 01:00PM ET",11.717,"NO"
"DST","Jets ",3400,"NYJ@Cle 01:00PM ET",4.000,"NYJ"
"RB","Knile Davis",3400,"GB@Atl 04:25PM ET",0.660,"GB"
"WR","Russell Shepard",3300,"Oak@TB 01:00PM ET",4.133,"TB"
"RB","Justin Forsett",3300,"Det@Hou 01:00PM ET",6.340,"Det"
"TE","Gary Barnidge",3300,"NYJ@Cle 01:00PM ET",9.729,"Cle"
"RB","Don Jackson",3300,"GB@Atl 04:25PM ET",0.600,"GB"
"RB","Reggie Bush",3300,"NE@Buf 01:00PM ET",2.180,"Buf"
"WR","Danny Amendola",3300,"NE@Buf 01:00PM ET",5.714,"NE"
"DST","Patriots ",3300,"NE@Buf 01:00PM ET",7.143,"NE"
"WR","Corey Brown",3300,"Ari@Car 01:00PM ET",6.617,"Car"
"WR","Chester Rogers",3200,"KC@Ind 01:00PM ET",4.433,"Ind"
"TE","Cameron Brate",3200,"Oak@TB 01:00PM ET",9.100,"TB"
"WR","Dontrelle Inman",3200,"SD@Den 04:05PM ET",7.100,"SD"
"RB","Alfred Morris",3200,"Phi@Dal 08:30PM ET",4.367,"Dal"
"DST","Eagles ",3200,"Phi@Dal 08:30PM ET",13.667,"Phi"
"RB","Jalen Richard",3100,"Oak@TB 01:00PM ET",7.043,"Oak"
"WR","Jermaine Kearse",3100,"Sea@NO 01:00PM ET",6.133,"Sea"
"DST","Texans ",3100,"Det@Hou 01:00PM ET",5.571,"Hou"
"WR","Justin Hunter",3100,"NE@Buf 01:00PM ET",5.475,"Buf"
"WR","Jaron Brown",3100,"Ari@Car 01:00PM ET",5.100,"Ari"
"WR","Nelson Agholor",3100,"Phi@Dal 08:30PM ET",7.267,"Phi"
"RB","Anthony Sherman",3000,"KC@Ind 01:00PM ET",0.383,"KC"
"RB","Robert Turbin",3000,"KC@Ind 01:00PM ET",4.983,"Ind"
"RB","Jordan Todman",3000,"KC@Ind 01:00PM ET",0.000,"Ind"
"RB","Josh Ferguson",3000,"KC@Ind 01:00PM ET",4.643,"Ind"
"RB","Charcandrick West",3000,"KC@Ind 01:00PM ET",4.680,"KC"
"WR","Devin Street",3000,"KC@Ind 01:00PM ET",3.000,"Ind"
"WR","Albert Wilson",3000,"KC@Ind 01:00PM ET",3.567,"KC"
"WR","De'Anthony Thomas",3000,"KC@Ind 01:00PM ET",3.300,"KC"
"WR","Tevaun Smith",3000,"KC@Ind 01:00PM ET",0.000,"Ind"
"WR","Demarcus Robinson",3000,"KC@Ind 01:00PM ET",0.000,"KC"
"WR","Tyreek Hill",3000,"KC@Ind 01:00PM ET",7.700,"KC"
"RB","Antone Smith",3000,"Oak@TB 01:00PM ET",6.700,"TB"
"RB","Taiwan Jones",3000,"Oak@TB 01:00PM ET",0.725,"Oak"
"RB","Jamize Olawale",3000,"Oak@TB 01:00PM ET",3.243,"Oak"
"RB","Peyton Barber",3000,"Oak@TB 01:00PM ET",3.000,"TB"
"WR","Cecil Shorts III",3000,"Oak@TB 01:00PM ET",0.733,"TB"
"WR","Andre Holmes",3000,"Oak@TB 01:00PM ET",3.329,"Oak"
"WR","Freddie Martino",3000,"Oak@TB 01:00PM ET",0.000,"TB"
"WR","Adam Humphries",3000,"Oak@TB 01:00PM ET",8.600,"TB"
"WR","Seth Roberts",3000,"Oak@TB 01:00PM ET",7.800,"Oak"
"WR","Johnny Holton",3000,"Oak@TB 01:00PM ET",0.786,"Oak"
"RB","Tim Hightower",3000,"Sea@NO 01:00PM ET",1.883,"NO"
"RB","John Kuhn",3000,"Sea@NO 01:00PM ET",5.200,"NO"
"RB","Travaris Cadet",3000,"Sea@NO 01:00PM ET",5.517,"NO"
"RB","Marcus Murphy",3000,"Sea@NO 01:00PM ET",0.000,"NO"
"RB","Daniel Lasco",3000,"Sea@NO 01:00PM ET",0.960,"NO"
"RB","C.J. Prosise",3000,"Sea@NO 01:00PM ET",2.900,"Sea"
"RB","Alex Collins",3000,"Sea@NO 01:00PM ET",2.700,"Sea"
"WR","Brandon Coleman",3000,"Sea@NO 01:00PM ET",5.267,"NO"
"WR","Paul Richardson",3000,"Sea@NO 01:00PM ET",2.383,"Sea"
"WR","Tanner McEvoy",3000,"Sea@NO 01:00PM ET",3.180,"Sea"
"WR","Tommylee Lewis",3000,"Sea@NO 01:00PM ET",3.000,"NO"
"WR","Jake Lampman",3000,"Sea@NO 01:00PM ET",0.000,"NO"
"DST","Seahawks ",3000,"Sea@NO 01:00PM ET",9.167,"Sea"
"RB","Jonathan Grimes",3000,"Det@Hou 01:00PM ET",3.000,"Hou"
"RB","Alfred Blue",3000,"Det@Hou 01:00PM ET",2.357,"Hou"
"RB","Jay Prosch",3000,"Det@Hou 01:00PM ET",0.257,"Hou"
"RB","Michael Burton",3000,"Det@Hou 01:00PM ET",0.000,"Det"
